2026-05-26T20:32:28.676176 0, 2746
2026-05-26T20:32:28.940652 0, 2746
2026-05-26T20:32:29.191105 0, 2746
2026-05-26T20:32:29.440725 1, 2746
2026-05-26T20:32:29.704567 2, 2747
2026-05-26T20:32:29.968930 1, 2747
2026-05-26T20:32:30.233650 2, 2743
2026-05-26T20:32:30.496598 2, 2743
2026-05-26T20:32:30.760169 2, 2743
2026-05-26T20:32:31.024492 1, 2743
2026-05-26T20:32:31.290870 1, 2743
2026-05-26T20:32:31.554652 2, 2743
2026-05-26T20:32:31.818177 1, 2743
2026-05-26T20:32:32.082838 2, 2741
2026-05-26T20:32:32.346058 2, 2732
2026-05-26T20:32:32.611421 1, 2735
2026-05-26T20:32:32.874172 1, 2735
2026-05-26T20:32:33.140265 1, 2733
2026-05-26T20:32:33.402898 1, 2733
2026-05-26T20:32:33.666546 0, 2733
2026-05-26T20:32:33.931863 1, 2733
2026-05-26T20:32:34.197120 0, 2733
2026-05-26T20:32:34.461099 1, 2740
2026-05-26T20:32:34.723190 0, 2740
2026-05-26T20:32:34.989341 0, 2740
2026-05-26T20:32:35.249440 0, 2740
2026-05-26T20:32:35.509542 0, 2740
2026-05-26T20:32:35.772316 0, 2740
2026-05-26T20:32:36.038024 0, 2740
2026-05-26T20:32:36.301661 0, 2740
2026-05-26T20:32:36.564384 0, 2740
2026-05-26T20:32:36.827220 0, 2740
2026-05-26T20:32:37.090911 1, 2739
2026-05-26T20:32:37.353694 0, 2739
2026-05-26T20:32:37.618267 0, 2739
2026-05-26T20:32:37.882714 0, 2739
2026-05-26T20:32:38.147251 0, 2739
2026-05-26T20:32:38.413052 0, 2739
2026-05-26T20:32:38.676597 0, 2739
2026-05-26T20:32:38.941913 1, 2745
2026-05-26T20:32:39.205485 0, 2745
2026-05-26T20:32:39.469802 2, 2746
2026-05-26T20:32:39.734774 2, 2746
2026-05-26T20:32:40.000039 2, 2746
2026-05-26T20:32:40.266300 2, 2746
2026-05-26T20:32:40.531837 2, 2746
2026-05-26T20:32:40.796254 2, 2746
2026-05-26T20:32:41.060041 2, 2746
2026-05-26T20:32:41.337610 2, 2746
2026-05-26T20:32:41.600922 2, 2746
2026-05-26T20:32:41.866052 2, 2746
2026-05-26T20:32:42.129331 2, 2746
2026-05-26T20:32:42.393220 2, 2746
2026-05-26T20:32:42.657592 2, 2743
2026-05-26T20:32:42.919471 2, 2743
2026-05-26T20:32:43.181258 2, 2743
2026-05-26T20:32:43.440392 2, 2743
2026-05-26T20:32:43.702407 2, 2743
2026-05-26T20:32:43.964806 2, 2745
2026-05-26T20:32:44.228771 2, 2744
2026-05-26T20:32:44.491459 2, 2742
2026-05-26T20:32:44.754364 2, 2737
2026-05-26T20:32:45.016611 2, 2737
2026-05-26T20:32:45.279027 2, 2737
2026-05-26T20:32:45.544203 2, 2734
2026-05-26T20:32:45.805745 2, 2732
2026-05-26T20:32:46.084000 3, 2742
2026-05-26T20:32:46.348524 2, 2742
2026-05-26T20:32:46.610984 2, 2752
2026-05-26T20:32:46.874022 3, 2753
2026-05-26T20:32:47.137904 15, 2835
2026-05-26T20:32:47.402718 36, 2851
2026-05-26T20:32:47.666935 2, 2851
2026-05-26T20:32:47.931274 2, 2848
2026-05-26T20:32:48.196385 2, 2848
2026-05-26T20:32:48.466643 3, 2867
2026-05-26T20:32:48.731142 26, 2879
2026-05-26T20:32:48.994069 23, 2887
2026-05-26T20:32:49.259279 45, 2887
2026-05-26T20:32:49.534523 44, 2888
2026-05-26T20:32:49.804064 44, 2888
2026-05-26T20:32:50.069107 26, 2892
2026-05-26T20:32:50.376325 64, 2892
2026-05-26T20:32:50.636274 39, 2892
2026-05-26T20:32:50.896316 40, 2886
2026-05-26T20:32:51.155906 39, 2886
2026-05-26T20:32:51.434879 36, 2886
2026-05-26T20:32:51.692671 43, 2888
2026-05-26T20:32:51.952347 40, 2908
2026-05-26T20:32:52.230620 72, 2886
2026-05-26T20:32:52.487956 41, 2886
2026-05-26T20:32:52.746692 39, 2886
2026-05-26T20:32:53.006198 38, 2886
2026-05-26T20:32:53.269519 40, 2886
2026-05-26T20:32:53.543021 68, 2881
2026-05-26T20:32:53.820575 41, 2881
2026-05-26T20:32:54.093659 45, 2879
2026-05-26T20:32:54.354208 48, 2879
2026-05-26T20:32:54.613272 39, 2881
2026-05-26T20:32:54.876431 42, 2881
2026-05-26T20:32:55.152293 54, 2901
2026-05-26T20:32:55.443370 81, 2879
2026-05-26T20:32:55.702692 39, 2879
2026-05-26T20:32:55.962618 43, 2879
2026-05-26T20:32:56.222906 42, 2879
2026-05-26T20:32:56.503294 45, 2879
2026-05-26T20:32:56.778169 76, 2881
2026-05-26T20:32:57.054014 45, 2881
2026-05-26T20:32:57.330767 47, 2879
2026-05-26T20:32:57.601718 50, 2881
2026-05-26T20:32:57.866687 54, 2881
2026-05-26T20:32:58.134318 56, 2901
2026-05-26T20:32:58.403220 60, 2879
2026-05-26T20:32:58.670935 42, 2879
2026-05-26T20:32:58.952925 40, 2879
2026-05-26T20:32:59.221489 41, 2879
2026-05-26T20:32:59.493697 59, 2886
2026-05-26T20:32:59.755624 49, 2886
2026-05-26T20:33:00.022926 46, 2886
2026-05-26T20:33:00.284991 39, 2886
2026-05-26T20:33:00.544919 41, 2886
2026-05-26T20:33:00.825285 38, 2888
2026-05-26T20:33:01.100748 44, 2888
2026-05-26T20:33:01.361495 69, 2908
2026-05-26T20:33:01.623165 52, 2886
2026-05-26T20:33:01.882601 42, 2881
2026-05-26T20:33:02.143643 43, 2881
2026-05-26T20:33:02.426255 41, 2881
2026-05-26T20:33:02.681479 46, 2881
2026-05-26T20:33:02.947946 71, 2881
2026-05-26T20:33:03.221524 45, 2881
2026-05-26T20:33:03.495728 42, 2881
2026-05-26T20:33:03.763154 40, 2881
2026-05-26T20:33:04.035841 38, 2883
2026-05-26T20:33:04.310309 52, 2883
2026-05-26T20:33:04.570610 67, 2903
2026-05-26T20:33:04.839868 80, 2881
2026-05-26T20:33:05.106292 51, 2878
2026-05-26T20:33:05.365560 39, 2878
2026-05-26T20:33:05.624989 42, 2878
2026-05-26T20:33:05.902166 56, 2876
2026-05-26T20:33:06.162263 43, 2878
2026-05-26T20:33:06.422008 37, 2878
2026-05-26T20:33:06.682769 41, 2878
2026-05-26T20:33:06.960098 44, 2878
2026-05-26T20:33:07.234599 47, 2880
2026-05-26T20:33:07.493665 42, 2880
2026-05-26T20:33:07.769157 83, 2876
2026-05-26T20:33:08.033517 50, 2878
2026-05-26T20:33:08.288957 47, 2878
2026-05-26T20:33:08.548380 43, 2878
2026-05-26T20:33:08.811438 39, 2878
2026-05-26T20:33:09.088099 41, 2878
2026-05-26T20:33:09.343866 66, 2878
2026-05-26T20:33:09.603080 39, 2878
2026-05-26T20:33:09.862871 39, 2878
2026-05-26T20:33:10.123621 43, 2878
2026-05-26T20:33:10.383049 43, 2880
2026-05-26T20:33:10.642557 38, 2880
2026-05-26T20:33:10.903032 51, 2900
2026-05-26T20:33:11.162252 58, 2878
2026-05-26T20:33:11.426432 39, 2878
2026-05-26T20:33:11.681522 43, 2878
2026-05-26T20:33:11.961583 40, 2878
2026-05-26T20:33:12.234427 54, 2852
2026-05-26T20:33:12.510204 49, 2878
2026-05-26T20:33:12.768817 39, 2878
2026-05-26T20:33:13.029402 42, 2878
2026-05-26T20:33:13.291894 39, 2878
2026-05-26T20:33:13.558400 45, 2880
2026-05-26T20:33:13.842721 49, 2900
2026-05-26T20:33:14.107988 77, 2878
2026-05-26T20:33:14.380306 42, 2878
2026-05-26T20:33:14.641995 45, 2878
2026-05-26T20:33:14.902173 43, 2878
2026-05-26T20:33:15.164833 73, 2880
2026-05-26T20:33:15.422999 41, 2880
2026-05-26T20:33:15.682746 35, 2880
2026-05-26T20:33:15.959479 44, 2880
2026-05-26T20:33:16.222988 43, 2882
2026-05-26T20:33:16.496979 46, 2882
2026-05-26T20:33:16.769505 46, 2902
2026-05-26T20:33:17.031054 84, 2880
2026-05-26T20:33:17.290853 43, 2880
2026-05-26T20:33:17.552059 39, 2880
2026-05-26T20:33:17.819449 50, 2880
2026-05-26T20:33:18.087530 64, 2880
2026-05-26T20:33:18.362351 43, 2880
2026-05-26T20:33:18.625444 43, 2880
2026-05-26T20:33:18.902298 44, 2880
2026-05-26T20:33:19.158360 40, 2882
2026-05-26T20:33:19.421618 43, 2882
2026-05-26T20:33:19.700247 58, 2902
2026-05-26T20:33:19.956985 80, 2880
2026-05-26T20:33:20.215868 36, 2880
2026-05-26T20:33:20.491100 41, 2880
2026-05-26T20:33:20.753752 40, 2880
2026-05-26T20:33:21.017471 41, 2882
2026-05-26T20:33:21.291435 62, 2878
2026-05-26T20:33:21.549763 44, 2880
2026-05-26T20:33:21.809452 41, 2880
2026-05-26T20:33:22.069693 46, 2880
2026-05-26T20:33:22.336893 41, 2880
2026-05-26T20:33:22.606080 42, 2882
2026-05-26T20:33:22.866240 43, 2902
2026-05-26T20:33:23.147042 80, 2880
2026-05-26T20:33:23.403905 47, 2880
2026-05-26T20:33:23.680698 47, 2880
2026-05-26T20:33:23.958780 43, 2880
2026-05-26T20:33:24.239075 87, 2880
2026-05-26T20:33:24.508565 40, 2880
2026-05-26T20:33:24.767698 43, 2880
2026-05-26T20:33:25.030036 45, 2880
2026-05-26T20:33:25.289596 46, 2882
2026-05-26T20:33:25.564607 41, 2882
2026-05-26T20:33:25.828027 75, 2902
2026-05-26T20:33:26.105652 81, 2880
2026-05-26T20:33:26.360579 41, 2880
2026-05-26T20:33:26.636943 39, 2880
2026-05-26T20:33:26.898639 39, 2882
2026-05-26T20:33:27.164127 84, 2882
2026-05-26T20:33:27.421682 50, 2880
2026-05-26T20:33:27.684114 37, 2880
2026-05-26T20:33:27.960679 40, 2880
2026-05-26T20:33:28.222954 36, 2880
2026-05-26T20:33:28.487705 47, 2882
2026-05-26T20:33:28.749024 42, 2902
2026-05-26T20:33:29.008367 83, 2878
2026-05-26T20:33:29.271732 50, 2880
2026-05-26T20:33:29.535145 41, 2880
2026-05-26T20:33:29.812735 44, 2880
2026-05-26T20:33:30.074849 47, 2880
2026-05-26T20:33:30.337139 81, 2880
2026-05-26T20:33:30.596454 43, 2880
2026-05-26T20:33:30.856489 42, 2880
2026-05-26T20:33:31.117806 39, 2880
2026-05-26T20:33:31.369005 43, 2882
2026-05-26T20:33:31.633235 41, 2882
2026-05-26T20:33:31.892297 60, 2902
2026-05-26T20:33:32.168008 80, 2880
2026-05-26T20:33:32.429909 40, 2880
2026-05-26T20:33:32.690858 40, 2880
2026-05-26T20:33:32.954941 45, 2880
2026-05-26T20:33:33.216450 39, 2884
2026-05-26T20:33:33.479777 62, 2854
2026-05-26T20:33:33.739990 41, 2880
2026-05-26T20:33:34.016462 39, 2880
2026-05-26T20:33:34.279174 53, 2880
2026-05-26T20:33:34.551191 41, 2882
2026-05-26T20:33:34.825943 41, 2882
2026-05-26T20:33:35.086649 53, 2902
2026-05-26T20:33:35.352530 81, 2880
2026-05-26T20:33:35.627126 40, 2880
2026-05-26T20:33:35.901665 48, 2880
2026-05-26T20:33:36.174898 47, 2880
2026-05-26T20:33:36.450487 58, 2880
2026-05-26T20:33:36.729407 46, 2880
2026-05-26T20:33:37.004774 44, 2880
2026-05-26T20:33:37.281248 47, 2880
2026-05-26T20:33:37.540527 45, 2882
2026-05-26T20:33:37.801808 40, 2882
2026-05-26T20:33:38.059834 38, 2902
2026-05-26T20:33:38.321659 80, 2880
2026-05-26T20:33:38.596074 41, 2880
2026-05-26T20:33:38.876088 39, 2880
2026-05-26T20:33:39.130926 39, 2880
2026-05-26T20:33:39.391780 38, 2880
2026-05-26T20:33:39.654380 71, 2880
2026-05-26T20:33:39.921994 40, 2880
2026-05-26T20:33:40.186322 42, 2880
2026-05-26T20:33:40.443629 40, 2880
2026-05-26T20:33:40.703870 39, 2880
2026-05-26T20:33:40.972194 44, 2882
2026-05-26T20:33:41.240606 43, 2902
2026-05-26T20:33:41.502526 78, 2846
2026-05-26T20:33:41.764788 2, 2846
2026-05-26T20:33:42.028274 2, 2846
2026-05-26T20:33:42.291652 2, 2846
2026-05-26T20:33:42.556392 2, 2846
2026-05-26T20:33:42.820922 2, 2846
2026-05-26T20:33:43.084567 2, 2846
2026-05-26T20:33:43.348936 1, 2853
2026-05-26T20:33:43.614211 2, 2853
2026-05-26T20:33:43.879397 2, 2853
2026-05-26T20:33:44.143109 2, 2853
2026-05-26T20:33:44.409291 2, 2853
2026-05-26T20:33:44.670803 2, 2853
2026-05-26T20:33:44.936789 2, 2853
2026-05-26T20:33:45.203280 2, 2853
2026-05-26T20:33:45.462077 2, 2853
2026-05-26T20:33:45.725817 2, 2853
2026-05-26T20:33:45.987689 2, 2848
2026-05-26T20:33:46.252654 2, 2848
2026-05-26T20:33:46.514496 2, 2848
2026-05-26T20:33:46.779719 2, 2849
2026-05-26T20:33:47.039721 2, 2853
2026-05-26T20:33:47.301553 81, 2909
2026-05-26T20:33:47.578653 64, 2909
2026-05-26T20:33:47.852577 58, 2909
2026-05-26T20:33:48.131309 59, 2911
2026-05-26T20:33:48.394125 50, 2911
2026-05-26T20:33:48.668520 60, 2911
2026-05-26T20:33:48.927807 62, 2907
2026-05-26T20:33:49.206701 54, 2907
2026-05-26T20:33:49.481837 61, 2907
2026-05-26T20:33:49.744565 49, 2907
2026-05-26T20:33:50.020860 62, 2907
2026-05-26T20:33:50.293709 61, 2907
2026-05-26T20:33:50.571658 60, 2907
2026-05-26T20:33:50.831426 60, 2905
2026-05-26T20:33:51.109783 62, 2905
2026-05-26T20:33:51.368798 67, 2905
2026-05-26T20:33:51.629597 51, 2905
2026-05-26T20:33:51.889203 42, 2902
2026-05-26T20:33:52.149260 49, 2902
2026-05-26T20:33:52.427543 43, 2902
2026-05-26T20:33:52.701248 47, 2902
2026-05-26T20:33:52.961912 69, 2902
2026-05-26T20:33:53.236804 69, 2902
2026-05-26T20:33:53.496776 46, 2902
2026-05-26T20:33:53.756081 47, 2902
2026-05-26T20:33:54.018257 47, 2902
2026-05-26T20:33:54.276534 51, 2902
2026-05-26T20:33:54.537758 53, 2922
2026-05-26T20:33:54.796770 59, 2922
2026-05-26T20:33:55.059494 44, 2922
2026-05-26T20:33:55.320327 50, 2922
2026-05-26T20:33:55.579572 68, 2922
2026-05-26T20:33:55.839177 47, 2922
2026-05-26T20:33:56.098500 46, 2922
2026-05-26T20:33:56.359257 52, 2922
2026-05-26T20:33:56.622126 47, 2922
2026-05-26T20:33:56.879799 56, 2925
2026-05-26T20:33:57.144556 58, 2925
2026-05-26T20:33:57.404360 62, 2922
2026-05-26T20:33:57.681007 63, 2922
2026-05-26T20:33:57.955674 75, 2922
2026-05-26T20:33:58.231359 68, 2922
2026-05-26T20:33:58.506768 67, 2922
2026-05-26T20:33:58.768007 77, 2922
2026-05-26T20:33:59.047015 77, 2922
2026-05-26T20:33:59.310259 77, 2922
2026-05-26T20:33:59.585963 78, 2922
2026-05-26T20:33:59.851356 78, 2942
2026-05-26T20:34:00.123569 61, 2942
2026-05-26T20:34:00.382184 76, 2942
2026-05-26T20:34:00.644030 73, 2942
2026-05-26T20:34:00.906077 69, 2942
2026-05-26T20:34:01.166260 70, 2942
2026-05-26T20:34:01.429692 69, 2942
2026-05-26T20:34:01.691359 71, 2942
2026-05-26T20:34:01.968546 74, 2942
2026-05-26T20:34:02.230441 77, 2942
2026-05-26T20:34:02.487223 71, 2942
2026-05-26T20:34:02.748077 62, 2942
2026-05-26T20:34:03.011587 75, 2942
2026-05-26T20:34:03.273009 84, 2942
2026-05-26T20:34:03.534340 81, 2942
2026-05-26T20:34:03.793416 67, 2942
2026-05-26T20:34:04.069337 74, 2962
2026-05-26T20:34:04.329976 67, 2962
2026-05-26T20:34:04.589779 72, 2962
2026-05-26T20:34:04.850386 72, 2962
2026-05-26T20:34:05.110961 66, 2962
2026-05-26T20:34:05.375549 59, 2962
2026-05-26T20:34:05.648705 86, 2962
2026-05-26T20:34:05.908970 79, 2962
2026-05-26T20:34:06.185295 76, 2962
2026-05-26T20:34:06.449007 67, 2962
2026-05-26T20:34:06.707267 90, 2962
2026-05-26T20:34:06.985235 79, 2962
2026-05-26T20:34:07.259949 90, 2962
2026-05-26T20:34:07.538596 85, 2962
2026-05-26T20:34:07.816159 95, 2962
2026-05-26T20:34:08.093574 95, 2962
2026-05-26T20:34:08.366233 95, 2962
2026-05-26T20:34:08.626820 94, 3254
2026-05-26T20:34:08.886036 92, 4496
2026-05-26T20:34:09.145358 97, 4496
2026-05-26T20:34:09.400044 97, 4496
2026-05-26T20:34:09.660749 97, 5576
2026-05-26T20:34:09.919424 100, 5576
2026-05-26T20:34:10.174583 100, 5576
2026-05-26T20:34:10.435733 2, 2848
2026-05-26T20:34:10.701509 1, 2849
2026-05-26T20:34:10.963229 2, 2849
2026-05-26T20:34:11.227188 2, 2849
2026-05-26T20:34:11.488803 2, 2849
2026-05-26T20:34:11.753480 2, 2849
2026-05-26T20:34:12.016993 2, 2849
2026-05-26T20:34:12.281518 2, 2849
2026-05-26T20:34:12.545833 2, 2855
2026-05-26T20:34:12.808170 2, 2855
2026-05-26T20:34:13.071055 1, 2855
2026-05-26T20:34:13.335211 2, 2855
2026-05-26T20:34:13.585883 2, 2855
2026-05-26T20:34:13.850559 2, 2855
2026-05-26T20:34:14.114781 2, 2855
2026-05-26T20:34:14.378590 2, 2855
2026-05-26T20:34:14.644255 2, 2855
2026-05-26T20:34:14.905611 2, 2849
2026-05-26T20:34:15.170024 2, 2849
2026-05-26T20:34:15.432947 2, 2849
2026-05-26T20:34:15.698326 2, 2849
2026-05-26T20:34:15.961932 2, 2849
2026-05-26T20:34:16.225664 2, 2849
2026-05-26T20:34:16.490002 2, 2849
2026-05-26T20:34:16.754472 2, 2849
2026-05-26T20:34:17.004955 1, 2849
2026-05-26T20:34:17.270171 2, 2849
2026-05-26T20:34:17.533992 2, 2845
2026-05-26T20:34:17.798273 2, 2845
2026-05-26T20:34:18.062107 2, 2845
2026-05-26T20:34:18.327736 2, 2848
2026-05-26T20:34:18.591363 2, 2848
2026-05-26T20:34:18.853729 2, 2855
